Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,Kategori Waktu
12:00:00 AM,10,2,31,0,4,4,39,1,4
12:15:00 AM,10,2,49,0,3,3,55,1,4
12:30:00 AM,10,2,46,0,3,6,55,1,4
12:45:00 AM,10,2,51,0,2,5,58,1,4
1:00:00 AM,10,2,57,6,15,16,94,2,4
1:15:00 AM,10,2,44,0,5,4,53,1,4
1:30:00 AM,10,2,37,0,1,4,42,1,4
1:45:00 AM,10,2,42,4,4,5,55,1,4
2:00:00 AM,10,2,51,0,9,7,67,1,4
2:15:00 AM,10,2,34,0,4,7,45,1,4
2:30:00 AM,10,2,45,0,1,1,47,1,4
2:45:00 AM,10,2,45,0,1,3,49,1,4
3:00:00 AM,10,2,50,0,3,0,53,1,4
3:15:00 AM,10,2,34,0,4,4,42,1,4
3:30:00 AM,10,2,129,22,42,1,194,3,4
3:45:00 AM,10,2,144,16,49,0,209,3,4
4:00:00 AM,10,2,111,28,20,3,162,2,4
4:15:00 AM,10,2,67,11,10,16,104,2,4
4:30:00 AM,10,2,65,24,7,16,112,2,4
4:45:00 AM,10,2,94,27,7,16,144,2,4
5:00:00 AM,10,2,94,20,8,7,129,2,4
5:15:00 AM,10,2,67,29,5,10,111,1,4
5:30:00 AM,10,2,56,12,2,14,84,2,4
5:45:00 AM,10,2,57,13,3,11,84,1,4
6:00:00 AM,10,2,129,22,42,1,194,3,0
6:15:00 AM,10,2,144,16,49,0,209,3,0
6:30:00 AM,10,2,111,28,20,3,162,2,0
6:45:00 AM,10,2,120,27,46,3,196,3,0
7:00:00 AM,10,2,102,39,47,1,189,3,0
7:15:00 AM,10,2,145,23,27,0,195,3,0
7:30:00 AM,10,2,114,37,21,5,177,3,0
7:45:00 AM,10,2,108,18,22,1,149,2,0
8:00:00 AM,10,2,122,28,33,1,184,3,0
8:15:00 AM,10,2,114,39,30,3,186,3,0
8:30:00 AM,10,2,150,36,25,1,212,3,0
8:45:00 AM,10,2,107,10,49,2,168,3,0
9:00:00 AM,10,2,124,24,22,0,170,3,0
9:15:00 AM,10,2,77,16,39,29,161,4,0
9:30:00 AM,10,2,15,23,30,21,89,2,0
9:45:00 AM,10,2,32,22,38,21,113,4,0
10:00:00 AM,10,2,68,13,29,24,134,4,1
10:15:00 AM,10,2,27,16,36,30,109,2,1
10:30:00 AM,10,2,76,7,11,15,109,2,1
10:45:00 AM,10,2,41,23,20,17,101,2,1
11:00:00 AM,10,2,33,10,3,29,75,2,1
11:15:00 AM,10,2,58,8,14,29,109,2,1
11:30:00 AM,10,2,65,7,11,26,109,2,1
11:45:00 AM,10,2,47,9,6,29,91,2,1
12:00:00 PM,10,2,38,10,5,25,78,2,1
12:15:00 PM,10,2,57,8,12,29,106,2,1
12:30:00 PM,10,2,20,6,4,20,50,2,1
12:45:00 PM,10,2,24,9,14,23,70,2,1
1:00:00 PM,10,2,52,10,13,21,96,2,1
1:15:00 PM,10,2,79,15,36,18,148,4,1
1:30:00 PM,10,2,84,24,22,18,148,2,1
1:45:00 PM,10,2,59,19,35,16,129,4,1
2:00:00 PM,10,2,88,26,31,19,164,4,1
2:15:00 PM,10,2,24,11,32,13,80,2,1
2:30:00 PM,10,2,110,17,23,20,170,3,1
2:45:00 PM,10,2,29,26,5,6,66,1,1
3:00:00 PM,10,2,43,26,11,20,100,2,2
3:15:00 PM,10,2,68,28,9,15,120,2,2
3:30:00 PM,10,2,108,16,8,18,150,2,2
3:45:00 PM,10,2,101,26,8,14,149,2,2
4:00:00 PM,10,2,141,31,36,6,214,3,2
4:15:00 PM,10,2,120,25,28,5,178,3,2
4:30:00 PM,10,2,137,23,44,5,209,3,2
4:45:00 PM,10,2,124,11,30,7,172,3,2
5:00:00 PM,10,2,145,25,49,7,226,3,2
5:15:00 PM,10,2,122,37,23,8,190,3,2
5:30:00 PM,10,2,136,30,20,9,195,3,2
5:45:00 PM,10,2,145,18,40,9,212,3,2
6:00:00 PM,10,2,138,34,28,5,205,3,3
6:15:00 PM,10,2,123,10,29,8,170,3,3
6:30:00 PM,10,2,105,15,21,9,150,2,3
6:45:00 PM,10,2,75,22,20,11,128,2,3
7:00:00 PM,10,2,90,12,10,13,125,2,3
7:15:00 PM,10,2,102,22,20,16,160,2,3
7:30:00 PM,10,2,61,18,15,27,121,4,3
7:45:00 PM,10,2,70,8,14,6,98,1,3
8:00:00 PM,10,2,80,17,12,34,143,4,3
8:15:00 PM,10,2,62,12,14,19,107,2,3
8:30:00 PM,10,2,96,5,11,13,125,2,3
8:45:00 PM,10,2,102,6,12,13,133,2,3
9:00:00 PM,10,2,91,14,15,6,126,2,3
9:15:00 PM,10,2,95,8,17,13,133,2,3
9:30:00 PM,10,2,75,15,12,21,123,4,3
9:45:00 PM,10,2,53,21,20,10,104,2,3
10:00:00 PM,10,2,13,1,0,19,33,2,4
10:15:00 PM,10,2,10,0,1,24,35,2,4
10:30:00 PM,10,2,16,2,0,33,51,2,4
10:45:00 PM,10,2,11,1,0,29,41,2,4
11:00:00 PM,10,2,18,2,1,13,34,2,4
11:15:00 PM,10,2,15,0,1,11,27,1,4
11:30:00 PM,10,2,14,1,0,33,48,2,4
11:45:00 PM,10,2,17,2,0,22,41,2,4
12:00:00 AM,11,3,12,2,1,17,32,2,4
12:15:00 AM,11,3,18,0,0,29,47,2,4
12:30:00 AM,11,3,16,1,0,14,31,2,4
12:45:00 AM,11,3,20,0,0,14,34,2,4
1:00:00 AM,11,3,20,1,1,30,52,2,4
1:15:00 AM,11,3,15,0,1,23,39,2,4
1:30:00 AM,11,3,16,0,1,26,43,2,4
1:45:00 AM,11,3,18,4,0,11,33,1,4
2:00:00 AM,11,3,17,3,1,36,57,2,4
2:15:00 AM,11,3,14,4,1,10,29,1,4
2:30:00 AM,11,3,18,2,1,25,46,2,4
2:45:00 AM,11,3,12,2,0,19,33,2,4
3:00:00 AM,11,3,11,4,0,30,45,2,4
3:15:00 AM,11,3,19,1,1,36,57,2,4
3:30:00 AM,11,3,10,4,0,36,50,2,4
3:45:00 AM,11,3,20,1,1,32,54,2,4
4:00:00 AM,11,3,15,5,1,40,61,2,4
4:15:00 AM,11,3,104,6,5,1,116,2,4
4:30:00 AM,11,3,109,25,3,8,145,2,4
4:45:00 AM,11,3,82,23,8,20,133,2,4
5:00:00 AM,11,3,81,25,1,18,125,2,4
5:15:00 AM,11,3,95,16,10,1,122,2,4
5:30:00 AM,11,3,91,24,7,6,128,2,4
5:45:00 AM,11,3,81,30,10,0,121,2,4
6:00:00 AM,11,3,125,13,26,2,166,4,0
6:15:00 AM,11,3,125,39,49,3,216,3,0
6:30:00 AM,11,3,125,34,37,1,197,3,0
6:45:00 AM,11,3,125,19,25,4,173,3,0
7:00:00 AM,11,3,125,15,49,0,189,3,0
7:15:00 AM,11,3,125,32,50,5,212,3,0
7:30:00 AM,11,3,125,38,50,1,214,3,0
7:45:00 AM,11,3,125,29,29,3,186,3,0
8:00:00 AM,11,3,125,31,48,4,208,3,0
8:15:00 AM,11,3,125,32,50,0,207,3,0
8:30:00 AM,11,3,125,31,45,0,201,3,0
8:45:00 AM,11,3,125,21,20,1,167,2,0
9:00:00 AM,11,3,125,28,36,0,189,3,0
9:15:00 AM,11,3,39,10,37,16,102,2,0
9:30:00 AM,11,3,89,8,12,13,122,2,0
9:45:00 AM,11,3,51,16,16,13,96,2,0
10:00:00 AM,11,3,17,9,18,28,72,2,1
10:15:00 AM,11,3,48,25,36,21,130,4,1
10:30:00 AM,11,3,93,7,30,16,146,4,1
10:45:00 AM,11,3,55,15,36,15,121,4,1
11:00:00 AM,11,3,51,10,8,22,91,2,1
11:15:00 AM,11,3,51,7,3,24,85,2,1
11:30:00 AM,11,3,51,9,7,30,97,2,1
11:45:00 AM,11,3,51,7,14,20,92,2,1
12:00:00 PM,11,3,51,10,14,20,95,2,1
12:15:00 PM,11,3,51,10,6,22,89,2,1
12:30:00 PM,11,3,51,8,11,22,92,2,1
12:45:00 PM,11,3,51,6,10,26,93,2,1
1:00:00 PM,11,3,51,7,7,27,92,2,1
1:15:00 PM,11,3,104,17,25,20,166,2,1
1:30:00 PM,11,3,6,28,27,14,75,2,1
1:45:00 PM,11,3,54,29,37,9,129,4,1
